19:59:46: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 53] Logger initialized
19:59:46: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=0.00, z=4.00
19:59:47: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=0.00, z=1.00
19:59:47: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=0.00, z=0.67
19:59:48: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=0.00, z=0.50
19:59:48: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=0.00, z=0.40
19:59:49: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=0.00, z=0.33
19:59:49: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=0.00, z=0.29
19:59:50: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=2.50, z=0.25
19:59:50: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=4.44, z=0.22
19:59:51: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=6.00, z=0.20
19:59:51: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=1.82, y=5.45, z=0.18
19:59:52: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=3.33, y=5.00, z=0.17
19:59:52: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=4.62, y=4.62, z=0.15
19:59:53: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=4.29, y=2.86, z=0.14
19:59:53: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=4.00, y=1.33, z=0.13
19:59:54: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=3.75, y=0.00, z=0.12
19:59:54: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=2.35, y=0.00, z=0.12
19:59:55: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=1.11, y=0.00, z=0.11
19:59:55: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=0.00, z=0.11
19:59:56: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=1.00, z=0.10
19:59:56: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=1.90, z=0.10
19:59:57: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=2.73, z=0.09
19:59:57: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.87, y=2.61, z=0.09
19:59:58: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=1.67, y=2.50, z=0.08
19:59:58: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=2.40, y=2.40, z=0.08
19:59:59: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=2.31, y=1.54, z=0.08
19:59:59: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=2.22, y=0.74, z=0.07
20:00:00: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=2.14, y=0.00, z=0.07
20:00:00: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=1.38, y=0.00, z=0.07
20:00:01: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.67, y=0.00, z=0.07
20:00:01: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=0.00, z=0.06
