18:49:31: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 47] Logger initialized
18:49:31: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity - X: 0.00, Y: 0.00, Z: 4.00
18:49:31: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 82] Generated command: CHANGE_ALTITUDE: 1
18:49:32: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity - X: 0.00, Y: 0.00, Z: 1.00
18:49:32: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 82] Generated command: CHANGE_ALTITUDE: -1
18:49:32: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity - X: 0.00, Y: 0.00, Z: 0.67
18:49:32: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 82] Generated command: CHANGING_YAW: 62.32780010512792
18:49:33: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity - X: 0.00, Y: 0.00, Z: 0.50
18:49:33: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 82] Generated command: CHANGING_YAW: 62.32780010512792
18:49:33: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity - X: 0.00, Y: 0.00, Z: 0.40
18:49:33: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 82] Generated command: CHANGING_YAW: 62.32780010512792
18:49:34: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity - X: 0.00, Y: 0.00, Z: 0.33
18:49:34: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 82] Generated command: CHANGING_YAW: 62.292893520088036
18:49:34: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity - X: 0.00, Y: 0.00, Z: 0.29
18:49:34: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 82] Generated command: CHANGING_YAW: 62.362706690167805
18:49:35: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity - X: 0.00, Y: 2.50, Z: 0.25
18:49:35: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 82] Generated command: CHANGING_YAW: 63.43494882292201
18:49:35: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity - X: 0.00, Y: 4.44, Z: 0.22
18:49:35: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 82] Generated command: CHANGING_YAW: 90.0
18:49:36: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity - X: 0.00, Y: 6.00, Z: 0.20
18:49:36: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 82] Generated command: CHANGING_YAW: 116.56505117707799
18:49:36: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity - X: 1.82, Y: 5.45, Z: 0.18
18:49:36: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 82] Generated command: CHANGING_YAW: 133.4292036732051
18:49:37: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity - X: 3.33, Y: 5.00, Z: 0.17
18:49:37: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 82] Generated command: CHANGING_YAW: 151.8641524961271
18:49:37: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity - X: 4.62, Y: 4.62, Z: 0.15
18:49:37: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 82] Generated command: CHANGING_YAW: 178.4292036732051
18:49:38: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity - X: 4.29, Y: 2.86, Z: 0.14
18:49:38: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 82] Generated command: CHANGING_YAW: -156.57654147651178
18:49:38: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity - X: 4.00, Y: 1.33, Z: 0.13
18:49:38: [INFO] [C:\Users\revan\Documents\GitHub\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 82] Generated command: CHANGING_YAW: -131.85840734641022
